time(ms);x;y;lat;lon;contact;announce
6032;1216;113;48.392816;-4.416546;;
6105;1216;116;48.392794;-4.416546;;
6122;1218;119;48.392773;-4.416525;;
6169;1232;136;48.392652;-4.416375;;
6205;1232;136;48.392652;-4.416375;;
6239;1231;139;48.392631;-4.416385;;
6255;1231;141;48.392616;-4.416385;;
6289;1231;144;48.392595;-4.416385;;
6322;1231;148;48.392566;-4.416385;;
6355;1231;149;48.392559;-4.416385;;
6372;1231;152;48.392538;-4.416385;;
6422;1235;154;48.392524;-4.416342;;
6439;1242;152;48.392538;-4.416267;;
6455;1256;148;48.392566;-4.416117;;
6472;1274;142;48.392609;-4.415924;;
6489;1285;137;48.392645;-4.415806;;
6505;1297;134;48.392666;-4.415677;;
6522;1310;130;48.392695;-4.415538;;
6539;1321;128;48.392709;-4.41542;;
6555;1331;125;48.39273;-4.415313;;
6572;1339;124;48.392737;-4.415227;;
6589;1346;123;48.392744;-4.415152;;
6606;1354;122;48.392752;-4.415066;;
6622;1360;121;48.392759;-4.415001;;
6639;1366;120;48.392766;-4.414937;;
6656;1372;118;48.39278;-4.414873;;
6672;1378;117;48.392787;-4.414808;;
6684;1384;115;48.392801;-4.414744;;
6706;1390;114;48.392809;-4.41468;;
6722;1396;113;48.392816;-4.414615;;
6739;1404;111;48.39283;-4.414529;;
6756;1413;110;48.392837;-4.414433;;
6772;1424;111;48.39283;-4.414315;;
6789;1435;111;48.39283;-4.414197;;
6806;1444;111;48.39283;-4.4141;;
6822;1453;111;48.39283;-4.414004;;
6839;1465;111;48.39283;-4.413875;;
6856;1477;112;48.392823;-4.413746;;
6872;1488;113;48.392816;-4.413628;;
6889;1500;114;48.392809;-4.413499;;
6906;1511;116;48.392794;-4.413381;;
6923;1522;117;48.392787;-4.413263;;
6940;1530;119;48.392773;-4.413177;;
6956;1538;120;48.392766;-4.413092;;
6973;1545;121;48.392759;-4.413017;;
6989;1553;122;48.392752;-4.412931;;
7006;1560;122;48.392752;-4.412856;;
7023;1567;123;48.392744;-4.412781;;
7039;1572;124;48.392737;-4.412727;;
7056;1576;124;48.392737;-4.412684;;
7073;1581;125;48.39273;-4.41263;;
7089;1584;126;48.392723;-4.412598;;
7106;1587;126;48.392723;-4.412566;;
7123;1590;126;48.392723;-4.412534;;
7140;1592;126;48.392723;-4.412512;;
7156;1596;126;48.392723;-4.412469;;
7173;1600;126;48.392723;-4.412426;;
7189;1600;126;48.392723;-4.412426;;
7206;1603;126;48.392723;-4.412394;;
7223;1603;126;48.392723;-4.412394;;
7239;1605;124;48.392737;-4.412373;;
7273;1608;123;48.392744;-4.412341;;
7290;1613;121;48.392759;-4.412287;;
7306;1615;119;48.392773;-4.412266;;
7339;1619;118;48.39278;-4.412223;;
7356;1621;117;48.392787;-4.412201;;
7373;1620;117;48.392787;-4.412212;;
7390;1624;117;48.392787;-4.412169;;
7410;1624;116;48.392794;-4.412169;;
7424;1625;116;48.392794;-4.412158;;
7440;1628;116;48.392794;-4.412126;;
7456;1628;116;48.392794;-4.412126;;
7473;1631;116;48.392794;-4.412094;;
7506;1634;116;48.392794;-4.412062;;
7540;1637;116;48.392794;-4.412029;;
7556;1638;115;48.392801;-4.412019;;
7573;1640;115;48.392801;-4.411997;;
7598;1641;115;48.392801;-4.411987;;
7623;1645;115;48.392801;-4.411944;;
7656;1647;115;48.392801;-4.411922;;
7673;1646;115;48.392801;-4.411933;;
7740;1641;113;48.392816;-4.411987;;
7756;1636;110;48.392837;-4.41204;;
7773;1627;106;48.392866;-4.412137;;
7790;1608;101;48.392901;-4.412341;;
7807;1588;98;48.392923;-4.412555;;
7823;1574;97;48.39293;-4.412705;;
7840;1562;96;48.392937;-4.412834;;
7857;1549;96;48.392937;-4.412974;;
7873;1535;96;48.392937;-4.413124;;
7890;1517;98;48.392923;-4.413317;;
7907;1497;100;48.392908;-4.413532;;
7923;1474;103;48.392887;-4.413778;;
7940;1445;107;48.392858;-4.414089;;
7957;1417;111;48.39283;-4.41439;;
7973;1383;116;48.392794;-4.414755;;
7990;1350;120;48.392766;-4.415109;;
8007;1320;124;48.392737;-4.415431;;
8023;1285;128;48.392709;-4.415806;;
8040;1253;132;48.39268;-4.416149;;
8057;1220;135;48.392659;-4.416503;;
8073;1187;139;48.392631;-4.416857;;
8090;1159;141;48.392616;-4.417158;;
8107;1130;144;48.392595;-4.417469;;
8124;1104;146;48.392581;-4.417748;;
8140;1082;147;48.392574;-4.417984;;
8157;1061;148;48.392566;-4.418209;;
8174;1036;150;48.392552;-4.418478;;
8190;1011;151;48.392545;-4.418746;;
8207;986;153;48.392531;-4.419014;;
8224;960;155;48.392517;-4.419293;;
8240;940;156;48.392509;-4.419507;;
8257;923;156;48.392509;-4.41969;;
8274;909;155;48.392517;-4.41984;;
8290;900;154;48.392524;-4.419937;;
8307;891;153;48.392531;-4.420033;;
8324;881;151;48.392545;-4.42014;;
8341;872;150;48.392552;-4.420237;;
8357;863;148;48.392566;-4.420334;;
8370;859;147;48.392574;-4.420377;;
8390;849;145;48.392588;-4.420484;;
8407;843;143;48.392602;-4.420548;;
8424;837;142;48.392609;-4.420613;;
8450;831;142;48.392609;-4.420677;dauphin;dauphin
8458;821;143;48.392602;-4.420784;dauphin;
8475;806;146;48.392581;-4.420945;dauphin;
8491;790;150;48.392552;-4.421117;dauphin;
