time(ms);x;y;lat;lon;contact;announce
12703;81;91;0.0;0.0;list;cerise
12713;81;89;0.0;0.0;list;cerise
12724;81;87;0.0;0.0;list;cerise
12758;84;83;0.0;0.0;list;cerise
12775;85;81;0.0;0.0;list;cerise
12791;86;79;0.0;0.0;list;cerise
12825;87;76;0.0;0.0;list;cerise
12941;87;80;0.0;0.0;list;cerise
12958;87;81;0.0;0.0;list;cerise
12975;87;82;0.0;0.0;list;cerise
12991;87;85;0.0;0.0;list;cerise
13025;87;88;0.0;0.0;list;cerise
13058;87;91;0.0;0.0;list;cerise
13091;86;93;0.0;0.0;list;cerise
13158;85;95;0.0;0.0;list;cerise
13225;82;98;0.0;0.0;list;cerise
13258;80;101;0.0;0.0;list;cerise
13291;79;104;0.0;0.0;list;cerise
13317;76;106;0.0;0.0;list;cerise
13342;76;109;0.0;0.0;list;cerise
13375;75;111;0.0;0.0;list;cerise
13575;73;113;0.0;0.0;list;cerise
14444;61;78;0.0;0.0;list;cerise
14476;61;81;0.0;0.0;list;cerise
14493;61;83;0.0;0.0;list;cerise
14526;61;86;0.0;0.0;list;cerise
14560;61;89;0.0;0.0;list;cerise
14593;61;91;0.0;0.0;list;cerise
14626;61;94;0.0;0.0;list;cerise
14676;61;96;0.0;0.0;list;cerise
14709;61;99;0.0;0.0;list;cerise
14743;61;102;0.0;0.0;list;cerise
14760;61;104;0.0;0.0;list;cerise
14843;61;106;0.0;0.0;list;cerise
14943;61;109;0.0;0.0;list;cerise
15768;61;111;0.0;0.0;list;cerise
15811;61;114;0.0;0.0;list;cerise
15827;61;121;0.0;0.0;list;cerise
15844;61;128;0.0;0.0;list;cerise
15861;61;136;0.0;0.0;list;cerise
15877;62;145;0.0;0.0;list;cerise
15894;64;155;0.0;0.0;list;cerise
15910;65;166;0.0;0.0;list;cerise
15929;65;174;0.0;0.0;list;flaman
15944;65;180;0.0;0.0;list;flaman
15960;65;186;0.0;0.0;list;flaman
15977;65;190;0.0;0.0;list;flaman
15994;65;195;0.0;0.0;list;flaman
16011;65;198;0.0;0.0;list;flaman
16028;65;200;0.0;0.0;list;flaman
16044;65;204;0.0;0.0;list;flaman
16060;65;207;0.0;0.0;list;flaman
16077;65;208;0.0;0.0;list;flaman
16094;65;210;0.0;0.0;list;flaman
16127;65;213;0.0;0.0;list;flaman
16144;65;215;0.0;0.0;list;flaman
16177;65;218;0.0;0.0;list;flaman
16294;65;220;0.0;0.0;list;flaman
16719;65;222;0.0;0.0;list;flaman
16878;65;225;0.0;0.0;list;flaman
16911;65;228;0.0;0.0;list;flaman
16928;65;230;0.0;0.0;list;flaman
16961;66;234;0.0;0.0;list;flaman
16978;66;237;0.0;0.0;list;flaman
16995;67;244;0.0;0.0;list;flaman
17011;69;250;0.0;0.0;list;flaman
17028;69;257;0.0;0.0;list;flaman
17045;70;264;0.0;0.0;list;flaman
17061;71;273;0.0;0.0;list;flaman
17078;73;282;0.0;0.0;list;flaman
17095;73;292;0.0;0.0;list;flaman
17111;73;299;0.0;0.0;list;flaman
17128;74;307;0.0;0.0;list;flaman
17145;74;314;0.0;0.0;list;flaman
17161;74;321;0.0;0.0;list;flaman
17178;74;327;0.0;0.0;list;flaman
17195;74;333;0.0;0.0;list;flaman
17211;74;337;0.0;0.0;list;flaman
17234;74;341;0.0;0.0;list;lièvre
17245;74;343;0.0;0.0;list;lièvre
17262;74;346;0.0;0.0;list;lièvre
17295;74;349;0.0;0.0;list;lièvre
17328;74;351;0.0;0.0;list;lièvre
17345;74;353;0.0;0.0;list;lièvre
17512;73;356;0.0;0.0;list;lièvre
17578;73;358;0.0;0.0;list;lièvre
17612;73;361;0.0;0.0;list;lièvre
17645;73;364;0.0;0.0;list;lièvre
17662;73;366;0.0;0.0;list;lièvre
17695;73;371;0.0;0.0;list;lièvre
17712;73;374;0.0;0.0;list;lièvre
17729;73;378;0.0;0.0;list;lièvre
17745;73;381;0.0;0.0;list;lièvre
17762;73;385;0.0;0.0;list;lièvre
17779;73;389;0.0;0.0;list;lièvre
17795;73;393;0.0;0.0;list;lièvre
17812;73;396;0.0;0.0;list;lièvre
17829;73;400;0.0;0.0;list;lièvre
17845;73;403;0.0;0.0;list;lièvre
17862;73;406;0.0;0.0;list;lièvre
17879;73;409;0.0;0.0;list;lièvre
17895;73;411;0.0;0.0;list;lièvre
17929;73;413;0.0;0.0;list;lièvre
17945;73;415;0.0;0.0;list;lièvre
17986;73;418;0.0;0.0;list;lièvre
18029;73;421;0.0;0.0;list;lièvre
18162;72;423;0.0;0.0;list;lièvre
18229;72;426;0.0;0.0;list;lièvre
18262;71;428;0.0;0.0;list;lièvre
18296;71;431;0.0;0.0;list;lièvre
18329;71;434;0.0;0.0;list;lièvre
18346;71;437;0.0;0.0;list;lièvre
18362;71;440;0.0;0.0;list;lièvre
18379;71;444;0.0;0.0;list;lièvre
18396;71;450;0.0;0.0;list;lièvre
18412;71;456;0.0;0.0;list;lièvre
18429;71;461;0.0;0.0;list;lièvre
18446;71;467;0.0;0.0;list;lièvre
18462;71;473;0.0;0.0;list;lièvre
18479;71;478;0.0;0.0;list;lièvre
18496;71;485;0.0;0.0;list;lièvre
18512;71;492;0.0;0.0;list;lièvre
18529;71;498;0.0;0.0;list;lièvre
18546;71;504;0.0;0.0;list;lièvre
18568;71;510;0.0;0.0;list;méduze
18579;71;516;0.0;0.0;list;méduze
18596;71;522;0.0;0.0;list;méduze
18613;71;528;0.0;0.0;list;méduze
18629;71;534;0.0;0.0;list;méduze
18646;71;539;0.0;0.0;list;méduze
18663;71;544;0.0;0.0;list;méduze
18679;71;547;0.0;0.0;list;méduze
18696;71;551;0.0;0.0;list;méduze
18713;71;555;0.0;0.0;list;méduze
18729;71;560;0.0;0.0;list;méduze
18746;71;563;0.0;0.0;list;méduze
18763;71;566;0.0;0.0;list;méduze
18779;71;569;0.0;0.0;list;méduze
18796;71;572;0.0;0.0;list;méduze
18813;71;575;0.0;0.0;list;méduze
18829;71;577;0.0;0.0;list;méduze
18846;71;579;0.0;0.0;list;méduze
18863;71;582;0.0;0.0;list;méduze
18879;71;585;0.0;0.0;list;méduze
18896;71;588;0.0;0.0;list;méduze
18913;72;591;0.0;0.0;list;méduze
18929;73;594;0.042787;1036;54;48.393236;-4.418499;flaman;
42799;1032;54;48.393236;-4.418542;flaman;
42814;1027;54;48.393236;-4.418596;flaman;
42831;1024;54;48.393236;-4.418628;flaman;
42848;1021;54;48.393236;-4.41866;flaman;
42864;1019;54;48.393236;-4.418681;flaman;
42881;1017;54;48.393236;-4.418703;flaman;
42914;1014;54;48.393236;-4.418735;flaman;
42931;1012;54;48.393236;-4.418756;flaman;
42964;1009;55;48.393229;-4.418789;flaman;
42998;1006;58;48.393208;-4.418821;flaman;
43014;1005;61;48.393186;-4.418832;flaman;
43031;1003;64;48.393165;-4.418853;flaman;
43048;1002;67;48.393143;-4.418864;flaman;
43064;1000;73;48.393101;-4.418885;flaman;
43081;999;78;48.393065;-4.418896;flaman;
43098;997;84;48.393022;-4.418917;flaman;
43114;996;90;48.39298;-4.418928;flaman;
43141;995;96;48.392937;-4.418939;flaman;
43149;995;102;48.392894;-4.418939;flaman;
43165;995;107;48.392858;-4.418939;flaman;
43181;995;112;48.392823;-4.418939;flaman;
43198;995;116;48.392794;-4.418939;flaman;
43222;995;121;48.392759;-4.418939;flaman;
43231;995;124;48.392737;-4.418939;flaman;
43248;995;127;48.392716;-4.418939;flaman;
43265;995;129;48.392702;-4.418939;flaman;
43281;995;132;48.39268;-4.418939;flaman;
43298;995;134;48.392666;-4.418939;flaman;
43331;995;137;48.392645;-4.418939;flaman;
43365;995;139;48.392631;-4.418939;flaman;
43381;995;141;48.392616;-4.418939;flaman;
44623;1004;105;48.392873;-4.418842;flaman;
44716;1004;108;48.392851;-4.418842;flaman;
44783;1004;111;48.39283;-4.418842;flaman;
45317;1002;103;48.392887;-4.418864;flaman;
45333;999;103;48.392887;-4.418896;flaman;
45383;998;106;48.392866;-4.418907;flaman;
45416;998;109;48.392844;-4.418907;flaman;
45433;998;112;48.392823;-4.418907;flaman;
45450;998;118;48.39278;-4.418907;flaman;
45466;998;124;48.392737;-4.418907;flaman;
45483;997;131;48.392687;-4.418917;flaman;
45500;997;138;48.392638;-4.418917;flaman;
45516;997;145;48.392588;-4.418917;flaman;
45533;997;155;48.392517;-4.418917;flaman;
45550;997;165;48.392445;-4.418917;flaman;
45566;997;173;48.392388;-4.418917;flaman;
45583;997;181;48.392331;-4.418917;flaman;
45600;997;190;48.392267;-4.418917;flaman;
45617;999;201;48.392189;-4.418896;flaman;
45633;1000;211;48.392118;-4.418885;flaman;
45650;1001;221;48.392046;-4.418874;;
45667;1003;232;48.391968;-4.418853;;
45683;1004;244;48.391882;-4.418842;;
45700;1006;256;48.391797;-4.418821;;
45717;1007;268;48.391711;-4.41881;;
45744;1009;282;48.391612;-4.418789;;
45750;1010;297;48.391505;-4.418778;;
45767;1012;309;48.391419;-4.418756;;
45783;1013;324;48.391313;-4.418746;;
45800;1015;339;48.391206;-4.418724;;
45817;1016;352;48.391113;-4.418714;;
45833;1018;368;48.390999;-4.418692;;
45850;1019;381;48.390906;-4.418681;;
45867;1021;396;48.3908;-4.41866;;
45883;1022;411;48.390693;-4.418649;;
45900;1024;423;48.390607;-4.418628;;
45917;1025;437;48.390507;-4.418617;;
45934;1026;451;48.390408;-4.418606;;
45950;1028;465;48.390308;-4.418585;;
45967;1028;478;48.390215;-4.418585;;
45984;1029;491;48.390123;-4.418574;;
46000;1031;504;48.39003;-4.418553;;
46017;1032;516;48.389945;-4.418542;;
46034;1033;528;48.389859;-4.418531;;
46050;1034;540;48.389774;-4.41852;;
46067;1035;552;48.389688;-4.41851;;
46084;1036;564;48.389603;-4.418499;;
46100;1037;576;48.389517;-4.418488;;
46117;1037;587;48.389439;-4.418488;;
46134;1038;598;48.38936;-4.418478;;
46157;1039;611;48.389268;-4.418467;;
46167;1039;622;48.389189;-4.418467;;
46184;1039;636;48.38909;-4.418467;;
46201;1040;647;48.389011;-4.418456;;
46217;1040;660;48.388919;-4.418456;;
46234;1040;674;48.388819;-4.418456;;
46251;1041;685;48.388741;-4.418445;;
46267;1041;697;48.388655;-4.418445;;
46284;1041;709;48.38857;-4.418445;;
46300;1041;720;48.388491;-4.418445;;
46317;1041;731;48.388413;-4.418445;;
46334;1041;743;48.388327;-4.418445;;
46350;1040;754;48.388249;-4.418456;;
46367;1039;765;48.388171;-4.418467;;
46384;1039;775;48.388099;-4.418467;;
46401;1038;785;48.388028;-4.418478;;
46417;1037;796;48.38795;-4.418488;;
46434;1037;806;48.387878;-4.418488;;
46451;1036;816;48.387807;-4.418499;;
46467;1035;824;48.38775;-4.41851;;
46484;1035;832;48.387693;-4.41851;;
46501;1034;841;48.387629;-4.41852;;
46517;1033;848;48.387579;-4.418531;;
46534;1032;855;48.387529;-4.418542;;
46551;1031;863;48.387472;-4.418553;;
46575;1031;870;48.387422;-4.418553;;
46585;1030;877;48.387373;-4.418563;;
46601;1029;884;48.387323;-4.418574;;
46618;1029;890;48.38728;-4.418574;;
46634;1028;895;48.387244;-4.418585;;
46651;1028;902;48.387194;-4.418585;;
46668;1027;909;48.387145;-4.418596;;
46684;1027;915;48.387102;-4.418596;;
46701;1027;921;48.387059;-4.418596;;
46717;1027;927;48.387016;-4.418596;;
46734;1027;934;48.386966;-4.418596;;
46751;1027;940;48.386924;-4.418596;;
