time(ms);x;y;lat;lon;contact;announce
6743;123;80;0.0;0.0;list;
6765;118;80;0.0;0.0;list;
6784;114;80;0.0;0.0;list;
6802;111;80;0.0;0.0;list;
6822;108;80;0.0;0.0;list;
6840;106;80;0.0;0.0;list;
6859;104;80;0.0;0.0;list;
6898;102;77;0.0;0.0;list;
9149;86;73;0.0;0.0;list;
9299;86;73;0.0;0.0;list;
9333;82;73;0.0;0.0;list;
9351;80;74;0.0;0.0;list;
9384;79;77;0.0;0.0;list;
9416;77;80;0.0;0.0;list;
9450;75;82;0.0;0.0;list;
9474;74;86;0.0;0.0;list;
9516;72;89;0.0;0.0;list;
9536;69;98;0.0;0.0;list;
9555;69;101;0.0;0.0;list;
9575;68;104;0.0;0.0;list;
9593;68;107;0.0;0.0;list;
9612;68;110;0.0;0.0;list;
9631;68;113;0.0;0.0;list;
9649;68;116;0.0;0.0;list;
9668;68;119;0.0;0.0;list;
9685;68;121;0.0;0.0;list;
9717;68;124;0.0;0.0;list;
9735;68;126;0.0;0.0;list;
9767;68;129;0.0;0.0;list;
9785;68;131;0.0;0.0;list;
9817;68;134;0.0;0.0;list;
9850;68;137;0.0;0.0;list;
9884;68;139;0.0;0.0;list;
9902;68;141;0.0;0.0;list;
9935;68;145;0.0;0.0;list;
9970;68;148;0.0;0.0;list;
10003;68;154;0.0;0.0;list;
10025;68;159;0.0;0.0;list;
10044;68;163;0.0;0.0;list;
10063;68;168;0.0;0.0;list;
10088;68;172;0.0;0.0;list;brugnon, endive
12269;52;120;0.0;0.0;list;
12303;52;117;0.0;0.0;list;
12322;56;115;0.0;0.0;list;
12342;59;113;0.0;0.0;list;
12362;62;110;0.0;0.0;list;
12382;65;106;0.0;0.0;list;
12402;68;102;0.0;0.0;list;
12421;74;89;0.0;0.0;list;
12440;77;84;0.0;0.0;list;
12460;78;80;0.0;0.0;list;
12479;80;77;0.0;0.0;list;
12499;81;75;0.0;0.0;list;
12520;84;73;0.0;0.0;list;
12686;82;77;0.0;0.0;list;
12705;81;82;0.0;0.0;list;
12724;79;88;0.0;0.0;list;
12758;77;94;0.0;0.0;list;
12795;73;106;0.0;0.0;list;
12817;70;114;0.0;0.0;list;
12837;69;117;0.0;0.0;list;
12856;69;123;0.0;0.0;list;
12876;69;125;0.0;0.0;list;
12895;69;126;0.0;0.0;list;
12920;69;129;0.0;0.0;list;
12953;69;132;0.0;0.0;list;
12987;69;135;0.0;0.0;list;
13020;69;137;0.0;0.0;list;
13103;69;139;0.0;0.0;list;
13186;69;142;0.0;0.0;list;
13236;69;145;0.0;0.0;list;
13270;68;147;0.0;0.0;list;
13304;68;150;0.0;0.0;list;
13323;67;152;0.0;0.0;list;
13354;66;157;0.0;0.0;list;
13373;66;160;0.0;0.0;list;
13402;66;165;0.0;0.0;list;
13448;65;174;0.0;0.0;list;brugnon, endive
15220;65;255;0.0;0.0;list;brugnon, endive
15598;61;340;0.0;0.0;list;
15623;60;352;0.0;0.0;list;
15643;60;371;0.0;0.0;list;
15663;60;378;0.0;0.0;list;
15682;60;385;0.0;0.0;list;
15702;60;391;0.0;0.0;list;
15730;60;396;0.0;0.0;list;
15772;60;405;0.0;0.0;list;
15792;60;407;0.0;0.0;list;
15812;60;410;0.0;0.0;list;
15872;60;412;0.0;0.0;list;
16306;60;412;0.0;0.0;list;
16506;57;406;0.0;0.0;list;
16524;57;406;0.0;0.0;list;
16661;78;216;0.0;0.0;list;brugnon, endive
18228;77;277;0.0;0.0;list;brugnon, endive
19082;734;43;0.0;0.0;list;
19098;732;40;0.0;0.0;list;
19200;730;38;0.0;0.0;list;
19233;727;40;0.0;0.0;list;
19250;723;42;0.0;0.0;list;
19266;721;43;0.0;0.0;list;
19283;718;45;0.0;0.0;list;
19300;715;47;0.0;0.0;list;
19316;712;47;0.0;0.0;list;
19333;707;47;0.0;0.0;list;
19350;703;48;0.0;0.0;list;
19366;698;49;0.0;0.0;list;
19383;693;50;0.0;0.0;list;
19400;688;52;0.0;0.0;list;
19416;684;52;0.0;0.0;list;
19433;679;53;0.0;0.0;list;
19450;674;54;0.0;0.0;list;
19467;668;54;0.0;0.0;list;
19483;662;54;0.0;0.0;list;
19500;656;54;0.0;0.0;list;
19517;649;55;0.0;0.0;list;
19533;643;55;0.0;0.0;list;
19550;637;55;0.0;0.0;list;
19567;633;55;0.0;0.0;list;
19583;625;55;0.0;0.0;list;
19600;618;55;0.0;0.0;list;
19617;608;56;0.0;0.0;list;
19633;597;57;0.0;0.0;list;
19650;584;58;0.0;0.0;list;
19667;568;60;0.0;0.0;list;
19683;553;62;0.0;0.0;list;
19700;534;64;0.0;0.0;list;
19717;513;65;0.0;0.0;list;
19733;494;67;0.0;0.0;list;
19752;479;67;0.0;0.0;list;brugnon
19932;316;66;0.0;0.0;list;
19968;296;66;0.0;0.0;list;
19984;284;66;0.0;0.0;list;
20000;272;66;0.0;0.0;list;
20017;260;66;0.0;0.0;list;
20034;248;66;0.0;0.0;list;
20050;237;66;0.0;0.0;list;
20067;230;66;0.0;0.0;list;
20084;226;66;0.0;0.0;list;
20100;222;66;0.0;0.0;list;
20117;219;66;0.0;0.0;list;
20134;218;66;0.0;0.0;list;
20150;215;66;0.0;0.0;list;
20467;218;66;0.0;0.0;list;
20484;222;66;0.0;0.0;list;
20501;228;66;0.0;0.0;list;
20517;233;66;0.0;0.0;list;
20534;240;66;0.0;0.0;list;
20551;246;66;0.0;0.0;list;
20567;252;66;0.0;0.0;list;
20584;258;66;0.0;0.0;list;
20601;264;66;0.0;0.0;list;
20618;270;66;0.0;0.0;list;
20634;276;66;0.0;0.0;list;
20651;282;66;0.0;0.0;list;
20668;286;66;0.0;0.0;list;
20684;289;66;0.0;0.0;list;
20701;292;66;0.0;0.0;list;
20718;295;66;0.0;0.0;list;
20734;298;66;0.0;0.0;list;
20751;301;66;0.0;0.0;list;
20768;304;66;0.0;0.0;list;
20784;307;66;0.0;0.0;list;
20801;310;66;0.0;0.0;list;
20818;313;66;0.0;0.0;list;
20834;316;66;0.0;0.0;list;
20852;320;66;0.0;0.0;list;brugnon
22137;351;63;0.0;0.0;list;brugnon
22317;348;1011;48.386418;-4.42588;;
22333;348;1002;48.386482;-4.42588;;
22350;347;994;48.386539;-4.425891;;
22367;347;986;48.386596;-4.425891;;
22384;347;980;48.386639;-4.425891;;
22400;346;973;48.386689;-4.425902;;
22417;346;966;48.386738;-4.425902;;
22434;345;959;48.386788;-4.425913;;
22450;345;953;48.386831;-4.425913;;
22467;345;947;48.386874;-4.425913;;
22484;345;941;48.386917;-4.425913;;
22500;345;935;48.386959;-4.425913;;
22517;345;929;48.387002;-4.425913;;
22534;345;921;48.387059;-4.425913;;
22550;345;915;48.387102;-4.425913;;
22567;345;909;48.387145;-4.425913;;
22584;345;903;48.387187;-4.425913;;
22600;346;897;48.38723;-4.425902;;
22617;346;891;48.387273;-4.425902;;
22634;346;886;48.387308;-4.425902;;
22650;346;882;48.387337;-4.425902;;
22667;346;877;48.387373;-4.425902;;
22684;346;873;48.387401;-4.425902;;
22700;346;868;48.387437;-4.425902;;
22717;346;866;48.387451;-4.425902;;
22734;346;862;48.387479;-4.425902;;
22750;346;858;48.387508;-4.425902;;
22767;346;855;48.387529;-4.425902;;
22784;346;851;48.387558;-4.425902;;
22801;346;847;48.387586;-4.425902;;
22817;346;844;48.387608;-4.425902;;
22834;346;840;48.387636;-4.425902;;
22851;346;836;48.387665;-4.425902;;
22867;346;832;48.387693;-4.425902;;
22884;346;829;48.387715;-4.425902;;
22901;346;825;48.387743;-4.425902;;
22917;346;821;48.387772;-4.425902;;
22934;346;817;48.3878;-4.425902;;
22951;346;813;48.387829;-4.425902;;
22967;346;810;48.38785;-4.425902;;
22984;346;806;48.387878;-4.425902;;
23001;346;802;48.387907;-4.425902;;
23017;346;798;48.387935;-4.425902;;
23034;346;794;48.387964;-4.425902;;
23051;346;791;48.387985;-4.425902;;
23067;346;787;48.388014;-4.425902;;
23084;346;783;48.388042;-4.425902;;
23101;346;780;48.388064;-4.425902;;
23117;346;776;48.388092;-4.425902;;
23134;346;773;48.388114;-4.425902;;
23151;346;769;48.388142;-4.425902;;
23167;346;766;48.388163;-4.425902;;
23184;346;762;48.388192;-4.425902;;
23201;346;758;48.38822;-4.425902;;
23217;346;754;48.388249;-4.425902;;
23234;346;752;48.388263;-4.425902;;
23251;345;747;48.388299;-4.425913;;
23268;345;745;48.388313;-4.425913;;
23284;345;740;48.388349;-4.425913;;
23301;344;736;48.388377;-4.425923;;
23318;344;733;48.388399;-4.425923;;
23334;344;730;48.38842;-4.425923;;
23351;344;726;48.388448;-4.425923;;
23368;343;724;48.388463;-4.425934;;
23384;343;719;48.388498;-4.425934;;
23401;342;715;48.388527;-4.425945;;
23418;342;711;48.388555;-4.425945;;
23434;341;708;48.388577;-4.425956;;
23451;341;703;48.388612;-4.425956;;
23468;340;699;48.388641;-4.425966;;
23484;340;696;48.388662;-4.425966;;
23501;340;692;48.388691;-4.425966;;
23518;339;688;48.388719;-4.425977;;
23534;339;684;48.388748;-4.425977;;
23551;339;679;48.388783;-4.425977;;
23568;338;676;48.388805;-4.425988;;
23585;337;672;48.388833;-4.425998;;
23601;337;667;48.388869;-4.425998;;
23618;336;663;48.388897;-4.426009;;
23635;336;659;48.388926;-4.426009;;
23651;335;654;48.388961;-4.42602;;
23668;335;651;48.388983;-4.42602;;
23685;334;647;48.389011;-4.426031;;
23701;334;643;48.38904;-4.426031;;
23718;334;640;48.389061;-4.426031;;
23735;333;635;48.389097;-4.426041;;
23751;333;631;48.389125;-4.426041;;
23768;332;627;48.389154;-4.426052;;
23785;332;622;48.389189;-4.426052;;
23801;332;619;48.389211;-4.426052;;
23818;332;615;48.389239;-4.426052;;
23835;332;611;48.389268;-4.426052;;
23851;332;608;48.389289;-4.426052;;
23868;332;604;48.389318;-4.426052;;
23885;332;600;48.389346;-4.426052;;
23901;332;597;48.389368;-4.426052;;
23918;332;593;48.389396;-4.426052;;
23935;332;589;48.389425;-4.426052;;
23951;332;586;48.389446;-4.426052;;
23968;332;582;48.389474;-4.426052;;
23985;332;579;48.389496;-4.426052;;
24002;332;576;48.389517;-4.426052;;
24018;332;573;48.389539;-4.426052;;
24035;332;570;48.38956;-4.426052;;
24052;332;567;48.389581;-4.426052;;
24068;332;564;48.389603;-4.426052;;
24085;332;562;48.389617;-4.426052;;
24102;332;557;48.389653;-4.426052;;
24118;332;553;48.389681;-4.426052;;
24135;332;550;48.389702;-4.426052;;
24152;332;547;48.389724;-4.426052;;
24168;332;543;48.389752;-4.426052;;
24185;332;539;48.389781;-4.426052;;
24202;332;536;48.389802;-4.426052;;
24218;332;534;48.389816;-4.426052;;
24235;332;531;48.389838;-4.426052;;
24252;332;528;48.389859;-4.426052;;
24268;332;525;48.38988;-4.426052;;
24285;332;522;48.389902;-4.426052;;
24302;332;520;48.389916;-4.426052;;
24318;332;516;48.389945;-4.426052;;
24335;332;513;48.389966;-4.426052;;
24352;332;510;48.389987;-4.426052;;
24368;332;507;48.390009;-4.426052;;
24385;332;504;48.39003;-4.426052;;
24402;332;501;48.390051;-4.426052;;
24418;332;498;48.390073;-4.426052;;
24435;332;495;48.390094;-4.426052;;
24452;332;492;48.390116;-4.426052;;
24469;332;489;48.390137;-4.426052;;
24485;332;486;48.390158;-4.426052;;
24502;332;483;48.39018;-4.426052;;
24519;332;480;48.390201;-4.426052;;
24535;332;477;48.390222;-4.426052;;
24552;332;473;48.390251;-4.426052;;
24569;332;469;48.390279;-4.426052;;
24585;332;466;48.390301;-4.426052;;
24602;332;462;48.390329;-4.426052;;
24619;332;458;48.390358;-4.426052;;
24635;332;456;48.390372;-4.426052;;
24652;332;450;48.390415;-4.426052;;
24669;332;447;48.390436;-4.426052;;
